Ω√¡°,Erlog
2018-06-08,6.980075940561763
2018-06-11,6.980150356397488
2018-06-12,6.982064659423277
2018-06-13,6.987111597298232
2018-06-14,6.9884685310213115
2018-06-15,7.004782166218864
2018-06-18,7.007663960361716
2018-06-19,7.012691704726547
2018-06-20,7.009788264547255
2018-06-21,7.012124303274808
2018-06-22,7.0161521801522015
2018-06-25,7.016071422465596
2018-06-26,7.019368207505637
2018-06-27,7.022484768419038
2018-06-28,7.022832434823258
2018-06-29,7.013726608055461
2018-07-02,7.020467703010588
2018-07-03,7.016080395863956
2018-07-04,
2018-07-05,7.019475528592545
2018-07-06,7.0165917465136145
2018-07-09,7.013357765362687
2018-07-10,7.015541849387844
2018-07-11,7.02295720867082
2018-07-12,7.022315348681234
2018-07-13,7.030238363196686
2018-07-16,7.02803297815413
2018-07-17,7.026098157897034
2018-07-18,7.030645252006665
2018-07-19,7.035603050388343
2018-07-20,7.02834326597073
2018-07-23,7.033903230970148
2018-07-24,7.027660505641842
2018-07-25,7.02339379457603
2018-07-26,7.022618500571568
2018-07-27,7.017300028511173
2018-07-30,7.018383893805948
2018-07-31,7.014589707895964
2018-08-01,7.019430812872726
2018-08-02,7.027234652820786
2018-08-03,7.0234739631081435
2018-08-06,7.026337994809085
2018-08-07,7.0192966537150445
2018-08-08,7.020199644822486
2018-08-09,7.020190708311925
2018-08-10,7.030141039165093
2018-08-13,7.032791943349829
2018-08-14,7.028998986267501
2018-08-15,7.034652212170488
2018-08-16,7.025849377364605
2018-08-17,7.0239370332715465
2018-08-20,7.022244005466835
2018-08-21,7.018768786331701
2018-08-22,7.018401799069201
2018-08-23,7.024088375095149
2018-08-24,7.015083856734662
2018-08-27,7.010032044767052
2018-08-28,7.007727302759067
2018-08-29,7.011394313741623
2018-08-30,7.014931145892344
2018-08-31,7.017954071280212
2018-09-03,
2018-09-04,7.018849326487724
2018-09-05,7.02197642307216
2018-09-06,7.023224528788251
2018-09-07,7.024204091625384
2018-09-10,7.028112775645871
2018-09-11,7.026577774213183
2018-09-12,7.022529347790387
2018-09-13,7.02188721302705
2018-09-14,7.020190708311925
2018-09-17,7.0252805036303405
2018-09-18,7.023028501022964
2018-09-19,7.021628458882193
2018-09-20,7.020708893959057
2018-09-21,7.015981684053008
2018-09-24,7.02044090042503
2018-09-25,7.0194039824810455
2018-09-26,7.016286761805336
2018-09-27,7.015182657207188
2018-09-28,7.011899054712067
2018-10-01,7.014391979968946
2018-10-02,7.01430209071245
2018-10-03,7.022351018379829
2018-10-04,7.0306629390694635
2018-10-05,7.031078495014136
2018-10-08,
2018-10-09,7.032509514815609
2018-10-10,7.037818163280305
2018-10-11,7.033647567809376
2018-10-12,7.030698312256591
2018-10-15,7.029353250729624
2018-10-16,7.024542263188379
2018-10-17,7.026604412820518
2018-10-18,7.037080337373739
2018-10-19,7.03097241203947
2018-10-22,7.032359442206668
2018-10-23,7.036614524103701
2018-10-24,7.035849416489614
2018-10-25,7.034299820307093
2018-10-26,7.04030869354197
2018-10-29,7.038616860831442
2018-10-30,7.036746380064441
2018-10-31,7.03946751794955
2018-11-01,7.026595533363586
2018-11-02,7.019046175120709
2018-11-05,7.022983943898495
2018-11-06,7.022252923646991
2018-11-07,7.018867223419296
2018-11-08,7.020181771721503
2018-11-09,7.0312110829090555
2018-11-12,
2018-11-13,7.031997409699259
2018-11-14,7.031829594084064
2018-11-15,7.02749196058447
2018-11-16,7.025369411486297
2018-11-19,7.02649785413322
2018-11-20,7.0286711798652535
2018-11-21,7.027580672050486
2018-11-22,
2018-11-23,7.030769054877282
2018-11-26,7.027039409653676
2018-11-27,7.029450651458436
2018-11-28,7.02803297815413
2018-11-29,7.021003603917475
2018-11-30,7.01984212209364
2018-12-03,7.012295458256061
2018-12-04,7.011051665791002
2018-12-05,
2018-12-06,7.022930472728355
2018-12-07,7.0226898170742365
2018-12-10,7.0284673541444
2018-12-11,7.0287332055350396
2018-12-12,7.025102664201092
2018-12-13,7.0252982858339115
2018-12-14,7.0328007679563616
2018-12-17,7.030123342868928
2018-12-18,7.02798864346267
2018-12-19,7.021940740009122
2018-12-20,7.024533365401703
2018-12-21,7.025804945755952
2018-12-24,
2018-12-25,
2018-12-26,7.0248536358550435
2018-12-27,7.02230643105778
2018-12-28,7.016519993773526
2018-12-31,7.0146795713036445
2019-01-01,
2019-01-02,7.020289005536001
2019-01-03,7.025218263427595
2019-01-04,7.0181600509605975
2019-01-07,7.018849326487724
2019-01-08,7.023696619759149
