Ω√¡°,SPREAD
2013-10-30,2.64
2013-11-01,2.64
2013-11-06,2.64
2013-11-13,2.64
2013-11-20,2.64
2013-11-27,2.64
2013-12-01,2.65
2013-12-04,2.65
2013-12-11,2.65
2013-12-18,2.65
2013-12-25,2.65
2014-01-01,2.64
2014-01-08,2.64
2014-01-15,2.64
2014-01-22,2.64
2014-01-29,2.64
2014-02-01,2.61
2014-02-05,2.61
2014-02-12,2.61
2014-02-19,2.61
2014-02-26,2.61
2014-03-01,2.52
2014-03-05,2.52
2014-03-12,2.52
2014-03-19,2.52
2014-03-26,2.52
2014-04-01,2.59
2014-04-02,2.59
2014-04-09,2.59
2014-04-16,2.59
2014-04-23,2.59
2014-04-30,2.59
2014-05-01,2.6
2014-05-07,2.6
2014-05-14,2.6
2014-05-21,2.6
2014-05-28,2.6
2014-06-01,2.59
2014-06-04,2.59
2014-06-11,2.59
2014-06-18,2.59
2014-06-25,2.59
2014-07-01,2.55
2014-07-02,2.55
2014-07-09,2.55
2014-07-16,2.55
2014-07-23,2.55
2014-07-30,2.55
2014-08-01,2.44
2014-08-06,2.44
2014-08-13,2.44
2014-08-20,2.44
2014-08-27,2.44
2014-09-01,2.34
2014-09-03,2.34
2014-09-10,2.34
2014-09-17,2.34
2014-09-24,2.34
2014-10-01,2.24
2014-10-08,2.24
2014-10-15,2.24
2014-10-22,2.24
2014-10-29,2.24
2014-11-01,2.08
2014-11-05,2.08
2014-11-12,2.08
2014-11-19,2.08
2014-11-26,2.08
2014-12-01,2.16
2014-12-03,2.16
2014-12-10,2.16
2014-12-17,2.16
2014-12-24,2.16
2014-12-31,2.16
2015-01-01,2.13
2015-01-07,2.13
2015-01-14,2.13
2015-01-21,2.13
2015-01-28,2.13
2015-02-01,2.09
2015-02-04,2.09
2015-02-11,2.09
2015-02-18,2.09
2015-02-25,2.09
2015-03-01,1.95
2015-03-04,1.95
2015-03-11,1.95
2015-03-18,1.95
2015-03-25,1.95
2015-04-01,1.84
2015-04-08,1.84
2015-04-15,1.84
2015-04-22,1.84
2015-04-29,1.84
2015-05-01,1.8
2015-05-06,1.8
2015-05-13,1.8
2015-05-20,-618.2
2015-05-27,1.8
2015-06-01,1.66
2015-06-03,1.66
2015-06-10,1.66
2015-06-17,1.66
2015-06-24,1.66
2015-07-01,1.58
2015-07-08,1.58
2015-07-15,1.58
2015-07-22,1.58
2015-07-29,1.58
2015-08-01,1.56
2015-08-05,1.56
2015-08-12,1.56
2015-08-19,1.56
2015-08-26,1.56
2015-09-01,1.54
2015-09-02,1.54
2015-09-09,1.54
2015-09-16,1.54
2015-09-23,1.54
2015-09-30,1.54
2015-10-01,1.52
2015-10-07,1.52
2015-10-14,1.52
2015-10-21,1.52
2015-10-28,1.52
2015-11-01,1.53
2015-11-04,1.53
2015-11-11,1.53
2015-11-18,1.53
2015-11-25,1.53
2015-12-01,1.6
2015-12-02,-588.4
2015-12-09,1.6
2015-12-16,1.6
2015-12-23,1.6
2015-12-30,1.6
2016-01-01,1.57
2016-01-06,1.57
2016-01-13,1.57
2016-01-20,1.57
2016-01-27,1.57
2016-02-01,1.52
2016-02-03,1.52
2016-02-10,1.52
2016-02-17,1.52
2016-02-24,1.52
2016-03-01,1.52
2016-03-02,1.52
2016-03-09,1.52
2016-03-16,1.52
2016-03-23,1.52
2016-03-30,1.52
2016-04-01,1.54
2016-04-06,1.54
2016-04-13,1.54
2016-04-20,1.54
2016-04-27,1.54
2016-05-01,1.55
2016-05-04,1.55
