Ω√¡°,VKOSPI
2022-03-31,-4.1
2022-03-30,-4.6
2022-03-29,-4.3
2022-03-28,-0.1
2022-03-25,-0.5
2022-03-24,0.61
2022-03-23,-6.7
2022-03-22,-6.1
2022-03-21,2.14
2022-03-18,-2.7
2022-03-17,-5.0
2022-03-16,-7.8
2022-03-15,4.33
2022-03-14,1.19
2022-03-11,-5.0
2022-03-10,-11.0
2022-03-08,3.99
2022-03-07,13.3
2022-03-04,8.1
2022-03-03,-8.6
2022-03-02,1.97
2022-02-28,2.39
2022-02-25,-12.0
2022-02-24,12.5
2022-02-23,-5.0
2022-02-22,6.52
2022-02-21,0.46
2022-02-18,1.72
2022-02-17,6.11
2022-02-16,-10.0
2022-02-15,3.27
2022-02-14,13.9
2022-02-11,8.9
2022-02-10,-2.3
2022-02-09,-6.5
2022-02-08,-2.4
2022-02-07,2.71
2022-02-04,-8.2
2022-02-03,-4.3
2022-01-28,-14.0
2022-01-27,12.5
2022-01-26,-5.4
2022-01-25,22.2
2022-01-24,10.9
2022-01-21,7.62
2022-01-20,-4.1
2022-01-19,3.3
2022-01-18,3.59
2022-01-17,3.3
2022-01-14,6.33
2022-01-13,0.31
2022-01-12,-7.8
2022-01-11,-0.8
2022-01-10,2.47
2022-01-07,-3.0
2022-01-06,5.67
2022-01-05,3.62
2022-01-04,-3.4
2022-01-03,0.42
2021-12-30,-0.3
2021-12-29,-3.0
2021-12-28,-2.2
2021-12-27,5.82
2021-12-24,-2.5
2021-12-23,-2.8
2021-12-22,-4.9
2021-12-21,-6.1
2021-12-20,14.6
2021-12-17,0.24
2021-12-16,-7.8
2021-12-15,0.16
2021-12-14,2.22
2021-12-13,3.51
2021-12-10,4.44
2021-12-09,-5.8
2021-12-08,-4.2
2021-12-07,-11.0
2021-12-06,4.08
2021-12-03,-4.4
2021-12-02,2.19
2021-12-01,-11.0
2021-11-30,11.0
2021-11-29,15.9
2021-11-26,11.6
2021-11-25,-0.6
2021-11-24,-1.3
2021-11-23,2.04
2021-11-22,-0.4
2021-11-19,-2.9
2021-11-18,1.39
2021-11-17,3.38
2021-11-16,0.44
2021-11-15,-1.7
2021-11-12,-4.7
2021-11-11,-6.6
2021-11-10,1.06
2021-11-09,-1.3
2021-11-08,1.22
2021-11-05,2.39
2021-11-04,-4.1
2021-11-03,6.25
2021-11-02,-5.7
2021-11-01,-1.1
2021-10-29,8.54
2021-10-28,1.24
2021-10-27,4.78
2021-10-26,-5.4
2021-10-25,-0.9
2021-10-22,-2.7
2021-10-21,-0.2
2021-10-20,2.84
2021-10-19,-4.2
2021-10-18,5.75
2021-10-15,-6.4
2021-10-14,-11.0
2021-10-13,-8.3
2021-10-12,9.43
2021-10-08,-0.3
2021-10-07,-5.9
2021-10-06,2.92
2021-10-05,12.2
2021-10-01,8.99
2021-09-30,-2.9
2021-09-29,8.63
2021-09-28,3.33
2021-09-27,-2.5
2021-09-24,-2.3
2021-09-23,8.01
2021-09-17,0.26
2021-09-16,5.32
2021-09-15,-0.0
2021-09-14,-3.9
2021-09-13,0.66
2021-09-10,-5.2
2021-09-09,8.76
2021-09-08,3.88
2021-09-07,-0.4
2021-09-06,-2.6
2021-09-03,-4.1
2021-09-02,1.94
2021-09-01,1.36
2021-08-31,-7.0
2021-08-30,-1.7
2021-08-27,0.12
2021-08-26,4.33
2021-08-25,-0.9
2021-08-24,-9.6
2021-08-23,-8.6
2021-08-20,6.17
2021-08-19,15.1
2021-08-18,-5.2
2021-08-17,5.76
2021-08-13,9.65
2021-08-12,-6.8
2021-08-11,4.13
2021-08-10,1.68
2021-08-09,0.71
2021-08-06,-2.4
2021-08-05,-1.6
2021-08-04,-0.0
2021-08-03,-6.2
2021-08-02,-8.8
2021-07-30,11.0
2021-07-29,-3.2
2021-07-28,2.29
2021-07-27,-1.8
2021-07-26,11.3
2021-07-23,-1.2
2021-07-22,-9.4
2021-07-21,2.81
2021-07-20,2.82
2021-07-19,15.2
2021-07-16,1.46
2021-07-15,0.54
2021-07-14,3.35
2021-07-13,-7.8
2021-07-12,-9.9
2021-07-09,6.55
2021-07-08,6.77
2021-07-07,4.56
2021-07-06,-3.0
2021-07-05,-4.5
2021-07-02,-4.1
2021-07-01,1.13
2021-06-30,-2.4
2021-06-29,-1.8
2021-06-28,-0.1
2021-06-25,-0.1
2021-06-24,0.61
2021-06-23,-2.3
2021-06-22,-7.1
2021-06-21,11.3
2021-06-18,-2.4
2021-06-17,1.9
2021-06-16,2.58
2021-06-15,-0.9
2021-06-14,-0.3
2021-06-11,-6.0
2021-06-10,-6.8
2021-06-09,2.09
2021-06-08,-4.6
2021-06-07,-2.2
2021-06-04,-0.2
2021-06-03,5.11
2021-06-02,0.91
2021-06-01,-3.2
2021-05-31,-1.5
2021-05-28,-5.3
2021-05-27,-2.0
2021-05-26,-1.6
2021-05-25,-7.7
2021-05-24,2.49
2021-05-21,5.07
2021-05-20,4.88
2021-05-18,-5.5
2021-05-17,-0.1
2021-05-14,-11.0
2021-05-13,-1.2
2021-05-12,10.8
2021-05-11,15.3
2021-05-10,5.54
2021-05-07,-3.3
2021-05-06,0.65
2021-05-04,-6.6
2021-05-03,-3.9
2021-04-30,-0.4
2021-04-29,0.0
2021-04-28,4.53
2021-04-27,-1.4
2021-04-26,0.16
2021-04-23,2.63
2021-04-22,-5.7
2021-04-21,5.51
2021-04-20,-0.4
2021-04-19,2.44
2021-04-16,0.06
2021-04-15,6.73
2021-04-14,-3.6
2021-04-13,3.45
2021-04-12,-0.9
2021-04-09,3.09
2021-04-08,-7.2
2021-04-07,-4.8
2021-04-06,-3.3
2021-04-05,-2.7
2021-04-02,-1.8
2021-04-01,-2.7
2021-03-31,-0.9
2021-03-30,-1.7
2021-03-29,3.19
2021-03-26,-6.1
2021-03-25,-4.4
2021-03-24,-2.0
2021-03-23,-2.1
2021-03-22,0.38
2021-03-19,4.05
2021-03-18,-7.5
2021-03-17,1.03
2021-03-16,-6.2
2021-03-15,1.01
2021-03-12,-3.0
2021-03-11,-8.3
2021-03-10,-3.1
2021-03-09,1.02
2021-03-08,1.34
2021-03-05,-1.3
2021-03-04,4.2
2021-03-03,-8.5
2021-03-02,-1.1
2021-02-26,12.2
2021-02-25,-3.4
2021-02-24,6.52
2021-02-23,-1.7
2021-02-22,2.9
2021-02-19,2.91
2021-02-18,2.03
2021-02-17,1.99
2021-02-16,-4.3
2021-02-15,-0.7
2021-02-10,4.84
2021-02-09,-7.7
2021-02-08,-4.6
2021-02-05,-10.0
2021-02-04,2.46
2021-02-03,-6.3
2021-02-02,-2.2
2021-02-01,-4.3
2021-01-29,7.98
2021-01-28,12.5
2021-01-27,-1.9
2021-01-26,3.52
2021-01-25,-1.3
2021-01-22,-4.1
2021-01-21,-8.0
2021-01-20,-2.2
2021-01-19,2.71
2021-01-18,5.13
2021-01-15,6.33
2021-01-14,-7.2
2021-01-13,-8.4
2021-01-12,-1.9
2021-01-11,22.1
2021-01-08,9.08
2021-01-07,-3.0
2021-01-06,5.26
2021-01-05,5.68
2021-01-04,12.3
2020-12-30,2.13
2020-12-29,-6.5
2020-12-28,7.48
2020-12-24,0.05
2020-12-23,-5.8
2020-12-22,11.2
2020-12-21,4.96
2020-12-18,-1.4
2020-12-17,-2.7
2020-12-16,-4.0
2020-12-15,0.09
2020-12-14,7.05
2020-12-11,-0.9
2020-12-10,-0.6
2020-12-09,-2.6
2020-12-08,-2.8
2020-12-07,1.38
2020-12-04,4.95
2020-12-03,-0.7
2020-12-02,-0.1
2020-12-01,-2.7
2020-11-30,5.65
2020-11-27,-1.7
2020-11-26,-3.9
2020-11-25,5.1
2020-11-24,0.1
2020-11-23,3.02
2020-11-20,-1.0
2020-11-19,-1.1
2020-11-18,-0.4
2020-11-17,-3.8
2020-11-16,3.69
2020-11-13,-0.4
2020-11-12,-4.0
2020-11-11,-1.6
2020-11-10,-2.5
2020-11-09,-0.7
2020-11-06,-1.9
2020-11-05,-10.0
2020-11-04,-6.7
2020-11-03,-7.3
2020-11-02,-10.0
2020-10-30,23.4
2020-10-29,11.2
2020-10-28,-1.2
2020-10-27,2.79
2020-10-26,4.75
2020-10-23,-2.8
2020-10-22,3.02
2020-10-21,-1.3
2020-10-20,-1.4
2020-10-19,2.18
2020-10-16,2.61
2020-10-15,2.38
2020-10-14,3.1
2020-10-13,-0.1
2020-10-12,-3.0
2020-10-08,-2.5
2020-10-07,-3.3
2020-10-06,-6.6
2020-10-05,-1.1
2020-09-29,-3.4
2020-09-28,-4.2
2020-09-25,-3.9
2020-09-24,10.4
2020-09-23,-2.2
2020-09-22,8.11
2020-09-21,7.97
2020-09-18,-3.2
2020-09-17,5.99
2020-09-16,0.38
2020-09-15,-1.4
2020-09-14,-1.8
2020-09-11,-2.0
2020-09-10,-10.0
2020-09-09,3.6
2020-09-08,-7.6
2020-09-07,-7.1
2020-09-04,10.0
2020-09-03,-3.6
2020-09-02,-4.8
2020-09-01,-0.6
2020-08-31,5.19
2020-08-28,-3.0
2020-08-27,7.0
2020-08-26,3.29
2020-08-25,-6.8
2020-08-24,-1.6
2020-08-21,-4.5
2020-08-20,15.5
2020-08-19,-3.2
2020-08-18,11.6
2020-08-14,2.08
2020-08-13,-3.2
2020-08-12,-0.5
2020-08-11,0.17
2020-08-10,3.94
2020-08-07,0.05
2020-08-06,2.22
2020-08-05,-3.7
2020-08-04,-4.6
2020-08-03,-0.2
2020-07-31,2.88
2020-07-30,-1.8
2020-07-29,1.79
2020-07-28,-0.1
2020-07-27,2.04
2020-07-24,7.14
2020-07-23,0.86
2020-07-22,-1.2
2020-07-21,-5.7
2020-07-20,0.13
2020-07-17,-4.8
2020-07-16,-0.6
2020-07-15,-3.3
2020-07-14,3.47
2020-07-13,-4.8
2020-07-10,6.2
2020-07-09,-6.6
2020-07-08,0.76
2020-07-07,3.46
2020-07-06,-3.0
2020-07-03,-9.7
2020-07-02,-8.1
2020-07-01,-3.7
2020-06-30,-7.4
2020-06-29,9.88
2020-06-26,-7.7
2020-06-25,9.67
2020-06-24,-4.8
2020-06-23,-6.7
2020-06-22,-0.0
2020-06-19,-8.7
2020-06-18,0.67
2020-06-17,3.2
2020-06-16,-9.5
2020-06-15,20.7
2020-06-12,22.7
2020-06-11,2.8
2020-06-10,-1.7
2020-06-09,-3.1
2020-06-08,7.66
2020-06-05,-0.9
2020-06-04,-0.1
2020-06-03,2.96
2020-06-02,0.24
2020-06-01,-2.7
2020-05-29,1.58
2020-05-28,3.15
2020-05-27,2.82
2020-05-26,-5.8
2020-05-25,-8.9
2020-05-22,17.6
2020-05-21,-5.1
2020-05-20,-0.6
2020-05-19,-7.5
2020-05-18,0.3
2020-05-15,0.63
2020-05-14,4.04
2020-05-13,-7.3
2020-05-12,-5.2
2020-05-11,1.95
2020-05-08,-8.1
2020-05-07,-1.5
2020-05-06,-12.0
2020-05-04,19.1
2020-04-29,-6.5
2020-04-28,-7.1
2020-04-27,-6.3
2020-04-24,8.94
2020-04-23,-5.7
2020-04-22,0.05
2020-04-21,9.73
2020-04-20,5.88
2020-04-17,-9.7
2020-04-16,-3.3
2020-04-14,-9.2
2020-04-13,10.7
2020-04-10,0.82
2020-04-09,-11.0
2020-04-08,10.8
2020-04-07,-5.5
2020-04-06,-15.0
2020-04-03,-4.0
2020-04-02,-5.5
2020-04-01,2.99
2020-03-31,-11.0
2020-03-30,0.38
2020-03-27,3.53
2020-03-26,6.97
2020-03-25,-8.2
2020-03-24,-13.0
2020-03-23,2.91
2020-03-20,-12.0
2020-03-19,10.2
2020-03-18,-2.6
2020-03-17,-0.1
2020-03-16,19.8
2020-03-13,25.0
2020-03-12,14.5
2020-03-11,8.05
2020-03-10,-3.8
2020-03-09,31.8
2020-03-06,16.1
2020-03-05,-11.0
2020-03-04,-9.2
2020-03-03,-9.7
2020-03-02,-3.4
2020-02-28,25.9
2020-02-27,6.93
2020-02-26,10.4
2020-02-25,-3.9
2020-02-24,19.4
2020-02-21,8.55
2020-02-20,0.27
2020-02-19,-0.3
2020-02-18,6.35
2020-02-17,1.84
2020-02-14,1.02
2020-02-13,-1.5
2020-02-12,-6.6
2020-02-11,-0.3
2020-02-10,3.94
2020-02-07,-1.5
2020-02-06,-2.3
2020-02-05,-0.8
2020-02-04,-4.8
2020-02-03,0.16
2020-01-31,4.95
2020-01-30,8.18
2020-01-29,-7.2
2020-01-28,19.7
2020-01-23,7.07
2020-01-22,-0.8
2020-01-21,5.65
2020-01-20,0.29
2020-01-17,0.15
2020-01-16,1.57
2020-01-15,-0.3
2020-01-14,1.13
2020-01-13,3.51
2020-01-10,-5.6
2020-01-09,-14.0
2020-01-08,5.9
2020-01-07,-5.0
2020-01-06,0.0
2020-01-03,3.12
2020-01-02,4.83
2019-12-30,3.96
2019-12-27,-0.1
2019-12-26,2.46
2019-12-24,-1.1
2019-12-23,6.8
2019-12-20,-0.9
2019-12-19,1.46
2019-12-18,-0.3
2019-12-17,-1.6
2019-12-16,1.14
2019-12-13,-2.0
2019-12-12,-0.0
2019-12-11,0.53
2019-12-10,-2.0
2019-12-09,-2.1
2019-12-06,-4.4
2019-12-05,1.25
2019-12-04,0.77
2019-12-03,2.15
2019-12-02,0.0
2019-11-29,1.38
2019-11-28,-0.5
2019-11-27,-2.5
2019-11-26,2.16
2019-11-25,0.22
2019-11-22,-4.4
2019-11-21,2.91
2019-11-20,4.36
2019-11-19,1.35
2019-11-18,1.75
2019-11-15,-2.3
2019-11-14,-3.1
2019-11-13,1.47
2019-11-12,-3.9
2019-11-11,3.05
2019-11-08,0.07
2019-11-07,-0.7
2019-11-06,3.5
2019-11-05,0.75
2019-11-04,0.76
2019-11-01,-2.7
2019-10-31,-1.8
2019-10-30,2.74
2019-10-29,-1.1
2019-10-28,1.64
2019-10-25,1.67
2019-10-24,-0.1
2019-10-23,0.99
2019-10-22,-5.4
2019-10-21,-0.0
2019-10-18,3.82
2019-10-17,0.53
2019-10-16,-3.8
2019-10-15,-3.5
2019-10-14,-3.6
2019-10-11,-5.0
2019-10-10,1.69
2019-10-08,-5.4
2019-10-07,-0.3
2019-10-04,2.84
2019-10-02,6.51
2019-10-01,-1.7
2019-09-30,2.02
2019-09-27,-1.3
2019-09-26,-3.5
2019-09-25,6.33
2019-09-24,-0.0
2019-09-23,4.4
2019-09-20,-1.2
2019-09-19,-3.3
2019-09-18,0.89
2019-09-17,1.53
2019-09-16,6.74
2019-09-11,0.52
2019-09-10,-6.5
2019-09-09,-1.1
2019-09-06,-3.5
2019-09-05,-5.6
2019-09-04,-3.3
2019-09-03,2.35
2019-09-02,2.54
2019-08-30,-6.3
2019-08-29,2.13
2019-08-28,-1.2
2019-08-27,-3.8
2019-08-26,11.4
2019-08-23,2.1
2019-08-22,0.33
2019-08-21,1.27
2019-08-20,-8.6
2019-08-19,-3.8
2019-08-16,6.03
2019-08-14,-6.7
2019-08-13,12.4
2019-08-12,-3.5
2019-08-09,-3.4
2019-08-08,-14.0
2019-08-07,-6.6
2019-08-06,8.07
2019-08-05,19.1
2019-08-02,5.19
2019-08-01,-0.4
2019-07-31,2.21
2019-07-30,-0.8
2019-07-29,5.16
2019-07-26,1.77
2019-07-25,2.47
2019-07-24,4.48
2019-07-23,-3.7
2019-07-22,4.27
2019-07-19,-5.0
2019-07-18,5.83
2019-07-17,3.74
2019-07-16,-3.5
2019-07-15,1.72
2019-07-12,-8.2
2019-07-11,-4.5
2019-07-10,1.39
2019-07-09,-0.3
2019-07-08,10.0
2019-07-05,0.08
2019-07-04,-2.5
2019-07-03,0.67
2019-07-02,-4.4
2019-07-01,-2.7
2019-06-28,3.52
2019-06-27,-0.7
2019-06-26,-0.2
2019-06-25,0.71
2019-06-24,1.6
2019-06-21,0.73
2019-06-20,-5.0
2019-06-19,-0.9
2019-06-18,-0.9
2019-06-17,1.94
2019-06-14,-3.2
2019-06-13,-0.4
2019-06-12,0.74
2019-06-11,-0.6
2019-06-10,-5.3
2019-06-07,-4.0
2019-06-05,-5.4
2019-06-04,0.46
2019-06-03,0.0
2019-05-31,3.9
2019-05-30,-3.7
2019-05-29,1.82
2019-05-28,-0.3
2019-05-27,2.46
2019-05-24,1.59
2019-05-23,1.86
2019-05-22,2.81
2019-05-21,-1.5
2019-05-20,-0.8
2019-05-17,-3.4
2019-05-16,-0.1
2019-05-15,-7.8
2019-05-14,-1.8
2019-05-13,-0.8
2019-05-10,1.37
2019-05-09,15.4
2019-05-08,8.35
2019-05-07,7.9
2019-05-03,-1.3
2019-05-02,3.31
2019-04-30,0.45
2019-04-29,1.85
2019-04-26,0.78
2019-04-25,-0.1
2019-04-24,1.42
2019-04-23,-1.3
2019-04-22,3.53
2019-04-19,-3.1
2019-04-18,1.58
2019-04-17,-0.0
2019-04-16,-2.0
2019-04-15,4.11
2019-04-12,0.98
2019-04-11,-59.0
2019-04-10,139.0
2019-04-09,-3.6
2019-04-08,-3.2
2019-04-05,-0.0
2019-04-04,2.33
2019-04-03,-0.3
2019-04-02,-2.8
2019-04-01,-3.9
2019-03-29,-4.2
2019-03-28,1.7
2019-03-27,-1.0
2019-03-26,-1.5
2019-03-25,14.9
2019-03-22,-2.8
2019-03-21,-3.3
2019-03-20,2.57
2019-03-19,-2.1
2019-03-18,2.21
2019-03-15,-2.5
2019-03-14,-5.6
2019-03-13,1.3
2019-03-12,-6.2
2019-03-11,2.7
2019-03-08,4.26
2019-03-07,0.14
2019-03-06,-1.4
2019-03-05,-1.7
2019-03-04,-3.1
2019-02-28,6.53
2019-02-27,-0.6
2019-02-26,0.27
2019-02-25,2.75
2019-02-22,-2.2
2019-02-21,-0.7
2019-02-20,-3.3
2019-02-19,6.02
2019-02-18,0.35
2019-02-15,3.49
2019-02-14,-12.0
2019-02-13,5.98
2019-02-12,0.07
2019-02-11,0.27
2019-02-08,0.54
2019-02-07,-0.7
2019-02-01,-4.1
2019-01-31,-8.7
2019-01-30,11.9
2019-01-29,1.61
2019-01-28,3.61
2019-01-25,2.78
2019-01-24,-5.2
2019-01-23,-0.8
2019-01-22,1.98
2019-01-21,2.23
2019-01-18,-4.4
2019-01-17,2.46
2019-01-16,-2.9
2019-01-15,0.6
2019-01-14,2.04
2019-01-11,-2.2
2019-01-10,-2.8
2019-01-09,-4.2
2019-01-08,-3.2
2019-01-07,-7.1
2019-01-04,-6.7
2019-01-03,-2.4
2019-01-02,3.95
2018-12-28,-1.4
2018-12-27,-11.0
2018-12-26,11.5
2018-12-24,4.39
2018-12-21,0.54
2018-12-20,4.03
2018-12-19,-0.7
2018-12-18,3.1
2018-12-17,-1.1
2018-12-14,11.2
2018-12-13,-8.0
2018-12-12,-7.3
2018-12-11,-6.0
2018-12-10,9.2
2018-12-07,-4.2
2018-12-06,10.8
2018-12-05,2.09
2018-12-04,0.78
2018-12-03,-10.0
2018-11-30,3.22
2018-11-29,2.57
2018-11-28,0.46
2018-11-27,-2.0
2018-11-26,-3.5
2018-11-23,0.38
2018-11-22,-2.6
2018-11-21,1.94
2018-11-20,4.68
2018-11-19,-2.3
2018-11-16,-0.9
2018-11-15,-3.2
2018-11-14,1.72
2018-11-13,11.5
2018-11-12,5.7
2018-11-09,-4.8
2018-11-08,-13.0
2018-11-07,-3.2
2018-11-06,0.81
2018-11-05,8.95
2018-11-02,-8.0
2018-11-01,-3.8
2018-10-31,-6.4
2018-10-30,-4.8
2018-10-29,2.72
2018-10-26,8.41
2018-10-25,9.24
2018-10-24,-0.5
2018-10-23,17.2
2018-10-22,1.75
2018-10-19,-2.6
2018-10-18,1.99
2018-10-17,-10.0
2018-10-16,-1.9
2018-10-15,7.1
2018-10-12,-11.0
2018-10-11,32.4
2018-10-10,5.07
2018-10-08,7.27
2018-10-05,1.01
2018-10-04,9.48
2018-10-02,1.81
2018-10-01,3.2
2018-09-28,-0.9
2018-09-27,2.34
2018-09-21,1.09
2018-09-20,-3.9
2018-09-19,-1.7
2018-09-18,0.52
2018-09-17,8.44
2018-09-14,-7.3
2018-09-13,-4.1
2018-09-12,-2.2
2018-09-11,-2.1
2018-09-10,-1.2
2018-09-07,2.25
2018-09-06,-1.2
2018-09-05,8.34
2018-09-04,-3.0
2018-09-03,3.01
2018-08-31,1.84
2018-08-30,0.44
2018-08-29,-2.4
2018-08-28,-0.6
2018-08-27,1.12
2018-08-24,-3.3
2018-08-23,-2.2
2018-08-22,-1.1
2018-08-21,-8.8
2018-08-20,-1.0
2018-08-17,-3.7
2018-08-16,9.06
2018-08-14,-7.6
2018-08-13,17.0
2018-08-10,6.12
2018-08-09,-4.8
2018-08-08,-0.1
2018-08-07,-3.6
2018-08-06,0.73
2018-08-03,-7.9
2018-08-02,7.67
2018-08-01,-4.1
2018-07-31,-1.1
2018-07-30,4.18
2018-07-27,-3.8
2018-07-26,-5.1
2018-07-25,-1.4
2018-07-24,-3.8
2018-07-23,5.24
2018-07-20,-2.3
2018-07-19,1.93
2018-07-18,1.45
2018-07-17,1.69
2018-07-16,3.91
2018-07-13,-7.4
2018-07-12,-4.8
2018-07-11,6.77
2018-07-10,-6.2
2018-07-09,-9.0
2018-07-06,-6.1
2018-07-05,-0.8
2018-07-04,-1.5
2018-07-03,-3.1
2018-07-02,14.3
2018-06-29,-3.9
2018-06-28,3.86
2018-06-27,2.16
2018-06-26,1.68
2018-06-25,2.04
2018-06-22,-4.2
2018-06-21,3.06
2018-06-20,-8.1
2018-06-19,10.9
2018-06-18,10.5
2018-06-15,3.57
2018-06-14,2.89
2018-06-12,-3.3
2018-06-11,2.24
2018-06-08,4.94
2018-06-07,-1.2
2018-06-05,-1.2
2018-06-04,-3.8
2018-06-01,-9.4
2018-05-31,-6.2
2018-05-30,20.0
2018-05-29,3.03
2018-05-28,0.4
2018-05-25,-2.6
2018-05-24,0.16
2018-05-23,-0.9
2018-05-21,1.97
2018-05-18,-3.0
2018-05-17,3.15
2018-05-16,-0.8
2018-05-15,9.31
2018-05-14,4.09
2018-05-11,-5.8
2018-05-10,-6.1
2018-05-09,-4.9
2018-05-08,0.6
2018-05-04,-2.5
2018-05-03,0.22
2018-05-02,0.29
2018-04-30,-3.2
2018-04-27,-3.5
2018-04-26,-1.9
2018-04-25,3.92
2018-04-24,5.3
2018-04-23,5.19
2018-04-20,2.46
2018-04-19,-2.4
2018-04-18,-3.2
2018-04-17,-4.0
2018-04-16,0.72
2018-04-13,-9.3
2018-04-12,-2.6
2018-04-11,3.57
2018-04-10,-8.4
2018-04-09,-4.9
2018-04-06,1.88
2018-04-05,-9.7
2018-04-04,1.34
2018-04-03,1.69
2018-04-02,4.33
2018-03-30,-7.3
2018-03-29,-4.3
2018-03-28,9.09
2018-03-27,-5.8
2018-03-26,-4.5
2018-03-23,24.4
2018-03-22,-2.9
2018-03-21,1.58
2018-03-20,1.04
2018-03-19,5.03
2018-03-16,0.0
2018-03-15,2.37
2018-03-14,0.73
2018-03-13,-0.5
2018-03-12,2.23
2018-03-09,-4.4
2018-03-08,-11.0
2018-03-07,5.58
2018-03-06,-10.0
2018-03-05,7.48
2018-03-02,11.8
2018-02-28,7.02
2018-02-27,-3.8
2018-02-26,-2.4
2018-02-23,-8.0
2018-02-22,1.75
2018-02-21,-3.1
2018-02-20,2.64
2018-02-19,-10.0
2018-02-14,-8.0
2018-02-13,-7.0
2018-02-12,-8.6
2018-02-09,30.3
2018-02-08,-20.0
2018-02-07,1.9
2018-02-06,39.2
2018-02-05,13.2
2018-02-02,2.58
2018-02-01,-3.8
2018-01-31,2.18
2018-01-30,6.04
2018-01-29,7.19
2018-01-26,0.32
2018-01-25,-2.1
2018-01-24,0.08
2018-01-23,-2.6
2018-01-22,3.31
2018-01-19,1.12
2018-01-18,2.62
2018-01-17,3.39
2018-01-16,0.25
2018-01-15,7.09
2018-01-12,-1.7
2018-01-11,-7.6
2018-01-10,0.75
2018-01-09,-2.2
2018-01-08,3.27
2018-01-05,-2.4
2018-01-04,-3.3
2018-01-03,-0.1
2018-01-02,4.98
2017-12-28,-6.5
2017-12-27,-0.2
2017-12-26,8.47
2017-12-22,-6.2
2017-12-21,7.16
2017-12-20,1.02
2017-12-19,3.07
2017-12-18,3.07
2017-12-15,-5.9
2017-12-14,5.19
2017-12-13,-8.0
2017-12-12,-2.4
2017-12-11,-4.4
2017-12-08,-4.5
2017-12-07,0.59
2017-12-06,4.62
